1, s, 32, 5.65862, 156.152, None
7, s, 14, 5.66380, 89.286, None
5, s, 17, 5.67369, 303.490, None
2, t, 24, 5.69109, 221.141, None
16, s, 2, 5.69712, 328.731, None
4, s, 22, 5.70049, 259.000, None
0, s, 51, 5.70142, 142.066, None
4, t, 16, 5.70548, 225.683, None
8, s, 11, 5.71748, 323.102, None
5, t, 9, 5.72392, 202.306, None
10, s, 8, 5.73709, 281.690, None
6, s, 0, 5.74025, 913.242, None
2, s, 27, 5.74507, 188.111, None
0, t, 47, 5.74766, 131.044, None
3, t, 20, 5.78519, 229.516, None
1, t, 32, 5.78624, 168.011, None
0, s, 52, 5.79222, 140.944, None
1, s, 33, 5.79649, 155.545, None
5, t, 10, 5.80678, 203.293, None
6, s, 16, 5.80840, 287.853, None
13, s, 5, 5.83428, 245.158, None
